395287	59.50	AM	MANAUS                                           	ADMINISTRACAO                
382884	59.50	MG	VICOSA                                           	ADMINISTRACAO                
457856	59.30	MG	VICOSA                                           	ADMINISTRACAO                
166169	59.30	PR	LONDRINA                                         	ADMINISTRACAO                
352040	59.30	DF	BRASILIA                                         	ADMINISTRACAO                
379843	59.30	PR	SAO JOSE DOS PINHAIS                             	ADMINISTRACAO                
312745	59.00	AM	MANAUS                                           	ADMINISTRACAO                
76327	59.00	MG	VICOSA                                           	ADMINISTRACAO                
138277	58.80	PR	LONDRINA                                         	ADMINISTRACAO                
454475	58.80	PR	LONDRINA                                         	ADMINISTRACAO                
401313	58.80	SE	SAO CRISTOVAO                                    	ADMINISTRACAO                
313733	58.80	PR	LONDRINA                                         	ADMINISTRACAO                
417884	58.80	AM	MANAUS                                           	ADMINISTRACAO                
409557	58.80	MT	PRIMAVERA DO LESTE                               	ADMINISTRACAO                
169350	58.80	DF	BRASILIA                                         	ADMINISTRACAO                
367133	58.80	MG	VICOSA                                           	ADMINISTRACAO                
114544	58.80	AM	MANAUS                                           	ADMINISTRACAO                
213197	58.80	MG	VICOSA                                           	ADMINISTRACAO                
30824	58.80	MG	VICOSA                                           	ADMINISTRACAO                
355550	58.50	DF	BRASILIA                                         	ADMINISTRACAO                
261845	58.50	SE	SAO CRISTOVAO                                    	ADMINISTRACAO                
425803	58.50	DF	BRASILIA                                         	ADMINISTRACAO                
410926	58.50	MG	VICOSA                                           	ADMINISTRACAO                
14281	58.50	MG	VICOSA                                           	ADMINISTRACAO                
433353	58.50	DF	BRASILIA                                         	ADMINISTRACAO                
351965	58.50	PR	LONDRINA                                         	ADMINISTRACAO                
27309	58.50	MG	VICOSA                                           	ADMINISTRACAO                
212501	58.30	DF	BRASILIA                                         	ADMINISTRACAO                
348074	58.50	DF	BRASILIA                                         	ADMINISTRACAO                
122665	58.30	PR	LONDRINA                                         	ADMINISTRACAO                
81658	58.30	PR	SAO JOSE DOS PINHAIS                             	ADMINISTRACAO                
225218	58.30	PR	LONDRINA                                         	ADMINISTRACAO                
210753	58.50	PR	CURITIBA                                         	ADMINISTRACAO                
152828	58.50	DF	BRASILIA                                         	ADMINISTRACAO                
120699	58.30	MT	PRIMAVERA DO LESTE                               	ADMINISTRACAO                
438411	58.30	PR	SAO JOSE DOS PINHAIS                             	ADMINISTRACAO                
7008	58.30	PR	LONDRINA                                         	ADMINISTRACAO                
317407	58.00	DF	BRASILIA                                         	ADMINISTRACAO                
311853	57.80	PI	TERESINA                                         	ADMINISTRACAO                
253017	57.50	PR	LONDRINA                                         	ADMINISTRACAO                
394101	57.50	DF	BRASILIA                                         	ADMINISTRACAO                
46627	57.50	PR	LONDRINA                                         	ADMINISTRACAO                
131227	57.30	MT	PRIMAVERA DO LESTE                               	ADMINISTRACAO                
94462	57.80	PR	LONDRINA                                         	ADMINISTRACAO                
351991	57.80	MT	CUIABA                                           	ADMINISTRACAO                
80915	57.50	AM	MANAUS                                           	ADMINISTRACAO                
164090	57.50	DF	BRASILIA                                         	ADMINISTRACAO                
228543	57.50	DF	BRASILIA                                         	ADMINISTRACAO                
214421	57.50	MG	VICOSA                                           	ADMINISTRACAO                
68791	57.30	DF	BRASILIA                                         	ADMINISTRACAO                
387819	57.30	AM	MANAUS                                           	ADMINISTRACAO                
310850	57.00	DF	BRASILIA                                         	ADMINISTRACAO                
76729	57.00	PI	TERESINA                                         	ADMINISTRACAO                
202039	57.00	PR	LONDRINA                                         	ADMINISTRACAO                
214669	57.00	PR	LONDRINA                                         	ADMINISTRACAO                
443742	57.00	DF	BRASILIA                                         	ADMINISTRACAO                
81689	57.00	DF	BRASILIA                                         	ADMINISTRACAO                
401904	57.00	MG	VICOSA                                           	ADMINISTRACAO                
5659	56.80	SE	SAO CRISTOVAO                                    	ADMINISTRACAO                
214949	56.80	PR	CURITIBA                                         	ADMINISTRACAO                
425187	56.80	PR	LONDRINA                                         	ADMINISTRACAO                
21798	56.80	DF	BRASILIA                                         	ADMINISTRACAO                
105583	56.80	DF	BRASILIA                                         	ADMINISTRACAO                
433602	56.80	DF	BRASILIA                                         	ADMINISTRACAO                
22724	56.80	PR	LONDRINA                                         	ADMINISTRACAO                
228864	56.50	AM	MANAUS                                           	ADMINISTRACAO                
265994	56.50	SE	SAO CRISTOVAO                                    	ADMINISTRACAO                
368930	56.30	MG	VICOSA                                           	ADMINISTRACAO                
361018	56.30	PR	LONDRINA                                         	ADMINISTRACAO                
253930	56.30	SE	SAO CRISTOVAO                                    	ADMINISTRACAO                
171898	56.30	PR	LONDRINA                                         	ADMINISTRACAO                
258502	56.30	PR	LONDRINA                                         	ADMINISTRACAO                
384724	56.30	DF	BRASILIA                                         	ADMINISTRACAO                
51336	56.30	MG	VICOSA                                           	ADMINISTRACAO                
48161	56.00	PR	CURITIBA                                         	ADMINISTRACAO                
246816	56.00	MG	VICOSA                                           	ADMINISTRACAO                
66198	56.00	MT	CUIABA                                           	ADMINISTRACAO                
153042	56.00	PI	TERESINA                                         	ADMINISTRACAO                
71811	56.00	PR	LONDRINA                                         	ADMINISTRACAO                
3916	56.00	PR	LONDRINA                                         	ADMINISTRACAO                
48121	56.00	MG	VICOSA                                           	ADMINISTRACAO                
280726	55.80	DF	BRASILIA                                         	ADMINISTRACAO                
425270	55.50	MG	VICOSA                                           	ADMINISTRACAO                
280714	55.30	MT	PRIMAVERA DO LESTE                               	ADMINISTRACAO                
348614	55.80	PR	CURITIBA                                         	ADMINISTRACAO                
382513	55.80	MT	PRIMAVERA DO LESTE                               	ADMINISTRACAO                
311610	55.80	AM	MANAUS                                           	ADMINISTRACAO                
85413	55.80	AM	MANAUS                                           	ADMINISTRACAO                
140865	55.80	PR	SAO JOSE DOS PINHAIS                             	ADMINISTRACAO                
280009	55.80	PI	TERESINA                                         	ADMINISTRACAO                
461815	55.80	MG	VICOSA                                           	ADMINISTRACAO                
124597	55.80	MT	PRIMAVERA DO LESTE                               	ADMINISTRACAO                
276000	55.50	PR	LONDRINA                                         	ADMINISTRACAO                
130673	55.50	DF	BRASILIA                                         	ADMINISTRACAO                
292061	55.50	PR	LONDRINA                                         	ADMINISTRACAO                
67407	55.50	DF	BRASILIA                                         	ADMINISTRACAO                
88839	55.50	DF	BRASILIA                                         	ADMINISTRACAO                
12390	55.30	MG	VICOSA                                           	ADMINISTRACAO                
53055	55.30	MG	VICOSA                                           	ADMINISTRACAO                
281116	55.30	DF	BRASILIA                                         	ADMINISTRACAO                
255793	55.30	PR	SAO JOSE DOS PINHAIS                             	ADMINISTRACAO                
182292	55.00	MG	VICOSA                                           	ADMINISTRACAO                
115010	55.00	SE	SAO CRISTOVAO                                    	ADMINISTRACAO                
205606	55.00	PR	CURITIBA                                         	ADMINISTRACAO                
3916	56.00	PR	LONDRINA                                         	ADMINISTRACAO                
140865	55.80	PR	SAO JOSE DOS PINHAIS                             	ADMINISTRACAO                
5213	54.80	DF	BRASILIA                                         	ADMINISTRACAO                
123309	54.80	PR	CURITIBA                                         	ADMINISTRACAO                
452861	54.80	SE	SAO CRISTOVAO                                    	ADMINISTRACAO                
22350	54.80	DF	BRASILIA                                         	ADMINISTRACAO                
145535	54.80	AM	MANAUS                                           	ADMINISTRACAO                
414861	54.80	DF	BRASILIA                                         	ADMINISTRACAO                
294257	54.80	MG	VICOSA                                           	ADMINISTRACAO                
271484	54.80	MG	VICOSA                                           	ADMINISTRACAO                
78289	54.50	MG	VICOSA                                           	ADMINISTRACAO                
51603	54.50	PI	TERESINA                                         	ADMINISTRACAO                
34474	54.50	PR	CURITIBA                                         	ADMINISTRACAO                
267147	54.50	DF	BRASILIA                                         	ADMINISTRACAO                
84187	54.50	PR	CURITIBA                                         	ADMINISTRACAO                
332468	54.50	PR	LONDRINA                                         	ADMINISTRACAO                
62175	54.50	PR	LONDRINA                                         	ADMINISTRACAO                
106091	54.30	PR	SAO JOSE DOS PINHAIS                             	ADMINISTRACAO                
114641	54.30	MG	VICOSA                                           	ADMINISTRACAO                
464932	54.30	MG	VICOSA                                           	ADMINISTRACAO                
279415	54.30	PR	CURITIBA                                         	ADMINISTRACAO                
436352	54.00	PR	CURITIBA                                         	ADMINISTRACAO                
374514	54.00	PR	CURITIBA                                         	ADMINISTRACAO                
299622	54.00	MG	VICOSA                                           	ADMINISTRACAO                
392635	54.00	DF	BRASILIA                                         	ADMINISTRACAO                
429859	54.00	PR	LONDRINA                                         	ADMINISTRACAO                
357755	53.80	PI	TERESINA                                         	ADMINISTRACAO                
179989	53.80	MG	VICOSA                                           	ADMINISTRACAO                
123883	53.80	MT	PRIMAVERA DO LESTE                               	ADMINISTRACAO                
37256	53.80	MG	VICOSA                                           	ADMINISTRACAO                
124947	53.80	DF	BRASILIA                                         	ADMINISTRACAO                
190369	53.80	DF	BRASILIA                                         	ADMINISTRACAO                
294443	53.80	PR	LONDRINA                                         	ADMINISTRACAO                
70951	53.80	DF	BRASILIA                                         	ADMINISTRACAO                
284633	53.80	PR	LONDRINA                                         	ADMINISTRACAO                
305092	53.80	DF	BRASILIA                                         	ADMINISTRACAO                
378110	53.80	SE	SAO CRISTOVAO                                    	ADMINISTRACAO                
301105	53.50	MT	PRIMAVERA DO LESTE                               	ADMINISTRACAO                
138277	58.80	PR	LONDRINA                                         	ADMINISTRACAO                
301840	53.50	PR	LONDRINA                                         	ADMINISTRACAO                
321747	53.50	PR	LONDRINA                                         	ADMINISTRACAO                
115074	53.50	AM	MANAUS                                           	ADMINISTRACAO                
49975	53.50	SE	SAO CRISTOVAO                                    	ADMINISTRACAO                
190046	53.50	PR	CURITIBA                                         	ADMINISTRACAO                
267657	53.30	MG	VICOSA                                           	ADMINISTRACAO                
59542	53.30	SE	SAO CRISTOVAO                                    	ADMINISTRACAO                
324555	53.30	AM	MANAUS                                           	ADMINISTRACAO                
195348	53.30	AM	MANAUS                                           	ADMINISTRACAO                
183899	53.00	PR	LONDRINA                                         	ADMINISTRACAO                
121373	53.00	AM	MANAUS                                           	ADMINISTRACAO                
209822	53.00	MT	PRIMAVERA DO LESTE                               	ADMINISTRACAO                
267396	53.00	PR	LONDRINA                                         	ADMINISTRACAO                
188515	53.00	PR	LONDRINA                                         	ADMINISTRACAO                
350312	53.30	MG	VICOSA                                           	ADMINISTRACAO                
195348	53.30	AM	MANAUS                                           	ADMINISTRACAO                
59542	53.30	SE	SAO CRISTOVAO                                    	ADMINISTRACAO                
267657	53.30	MG	VICOSA                                           	ADMINISTRACAO                
188515	53.00	PR	LONDRINA                                         	ADMINISTRACAO                
267396	53.00	PR	LONDRINA                                         	ADMINISTRACAO                
209822	53.00	MT	PRIMAVERA DO LESTE                               	ADMINISTRACAO                
121373	53.00	AM	MANAUS                                           	ADMINISTRACAO                
183899	53.00	PR	LONDRINA                                         	ADMINISTRACAO                
415741	53.00	DF	BRASILIA                                         	ADMINISTRACAO                
335581	53.00	AM	MANAUS                                           	ADMINISTRACAO                
135818	52.80	DF	BRASILIA                                         	ADMINISTRACAO                
284402	52.80	PR	LONDRINA                                         	ADMINISTRACAO                
430923	52.50	PR	LONDRINA                                         	ADMINISTRACAO                
454208	52.50	AM	MANAUS                                           	ADMINISTRACAO                
235866	52.50	PR	CURITIBA                                         	ADMINISTRACAO                
401893	52.50	PI	PARNAIBA                                         	ADMINISTRACAO                
1370	52.50	PR	CURITIBA                                         	ADMINISTRACAO                
99721	52.30	PR	LONDRINA                                         	ADMINISTRACAO                
380734	52.30	AM	MANAUS                                           	ADMINISTRACAO                
49454	52.30	PI	TERESINA                                         	ADMINISTRACAO                
285465	52.00	DF	BRASILIA                                         	ADMINISTRACAO                
415432	52.30	PI	PARNAIBA                                         	ADMINISTRACAO                
100312	52.30	DF	BRASILIA                                         	ADMINISTRACAO                
410910	52.30	PI	TERESINA                                         	ADMINISTRACAO                
19284	52.30	DF	BRASILIA                                         	ADMINISTRACAO                
266521	52.30	PR	LONDRINA                                         	ADMINISTRACAO                
427229	52.00	MG	VICOSA                                           	ADMINISTRACAO                
89539	52.00	PR	LONDRINA                                         	ADMINISTRACAO                
11372	52.00	PR	LONDRINA                                         	ADMINISTRACAO                
258469	52.00	DF	BRASILIA                                         	ADMINISTRACAO                
47978	52.00	DF	BRASILIA                                         	ADMINISTRACAO                
18642	52.00	PR	LONDRINA                                         	ADMINISTRACAO                
308793	51.80	PR	SAO JOSE DOS PINHAIS                             	ADMINISTRACAO                
133850	51.80	PR	CURITIBA                                         	ADMINISTRACAO                
119746	51.80	DF	BRASILIA                                         	ADMINISTRACAO                
29095	51.80	PI	TERESINA                                         	ADMINISTRACAO                
317012	51.80	MG	VICOSA                                           	ADMINISTRACAO                
402164	51.80	AM	MANAUS                                           	ADMINISTRACAO                
118340	51.50	MG	VICOSA                                           	ADMINISTRACAO                
167833	51.50	AM	MANAUS                                           	ADMINISTRACAO                
72731	51.30	DF	BRASILIA                                         	ADMINISTRACAO                
64305	51.30	PR	LONDRINA                                         	ADMINISTRACAO                
155589	51.80	DF	BRASILIA                                         	ADMINISTRACAO                
21887	51.80	MT	CUIABA                                           	ADMINISTRACAO                
88300	51.80	PI	TERESINA                                         	ADMINISTRACAO                
81136	51.80	PR	LONDRINA                                         	ADMINISTRACAO                
387342	51.50	SE	SAO CRISTOVAO                                    	ADMINISTRACAO                
162993	51.50	PR	CURITIBA                                         	ADMINISTRACAO                
336507	51.50	SE	SAO CRISTOVAO                                    	ADMINISTRACAO                
271291	51.50	PR	LONDRINA                                         	ADMINISTRACAO                
